"G.A.B. Canvass Reporting System",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,
,,,,,,,,,,,,,
"2012 PRESIDENTIAL AND GENERAL ELECTION",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President of the United States",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","IND",,"IND","IND","IND","IND","IND",
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY",,"GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)","ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
,"CITY OF BELOIT WARD 2",814,295,509,1,4,,0,1,1,0,0,3
,"CITY OF BELOIT WARD 3",816,315,493,2,3,,0,1,0,0,0,2
,"CITY OF BELOIT WARD 4",706,234,464,2,2,,1,0,2,0,0,1
,"CITY OF BELOIT WARD 5",691,235,447,1,6,,0,2,0,0,0,0
,"CITY OF BELOIT WARD 6",521,133,378,1,2,,0,0,2,0,0,5
,"CITY OF BELOIT WARD 7",555,108,434,5,5,,0,1,0,0,0,2
,"CITY OF BELOIT WARD 8",49,3,43,0,0,,0,1,0,0,0,2
,"CITY OF BELOIT WARD 9",563,124,425,1,7,,0,1,3,0,0,2
,"CITY OF BELOIT WARD 10",644,167,466,1,7,,0,1,1,0,0,1
,"CITY OF BELOIT WARD 11",710,257,443,3,5,,0,0,1,0,0,1
,"CITY OF BELOIT WARD 12",297,43,254,0,0,,0,0,0,0,0,0
,"CITY OF BELOIT WARD 13",521,67,452,0,1,,0,0,0,0,0,1
,"CITY OF BELOIT WARD 14",690,77,612,1,0,,0,0,0,0,0,0
,"CITY OF BELOIT WARD 15",611,178,426,2,2,,0,0,0,0,0,3
,"CITY OF BELOIT WARD 16",896,107,770,0,9,,1,1,5,0,0,3
,"CITY OF BELOIT WARD 17",854,239,595,3,7,,0,0,8,0,0,2
,"CITY OF BELOIT WARD 18",655,166,479,1,5,,1,0,2,0,0,1
,"CITY OF BELOIT WARD 19",492,162,325,0,4,,0,0,0,0,0,1
,"CITY OF BELOIT WARD 20",536,164,368,0,3,,0,0,1,0,0,0
,"CITY OF BELOIT WARD 21",689,225,460,2,2,,0,0,0,0,0,0
,"CITY OF BELOIT WARD 22",701,327,368,1,4,,0,0,1,0,0,0
,"CITY OF BELOIT WARD 23","1,113",524,579,2,3,,0,0,4,0,0,1
,"CITY OF BELOIT WARD 24",619,257,356,2,2,,0,0,1,0,0,1
,"CITY OF BELOIT WARD 25",0,0,0,0,0,,0,0,0,0,0,0
,"CITY OF BRODHEAD WARDS 7-8",29,16,13,0,0,,0,0,0,0,0,0
,"CITY OF EDGERTON Wards 1 - 6","2,836",826,"1,963",8,27,,0,1,6,0,0,5
,"CITY OF EVANSVILLE Wards 1 - 8","2,734",859,"1,833",3,22,,0,1,13,0,0,3
,"CITY OF JANESVILLE WARD 1","1,467",525,928,2,8,,0,0,2,0,0,2
,"CITY OF JANESVILLE WARD 2","1,399",534,837,6,15,,0,0,1,0,0,6
,"CITY OF JANESVILLE WARD 3","1,094",241,833,3,8,,0,0,6,0,0,3
,"CITY OF JANESVILLE WARD 4",930,202,713,2,7,,0,1,3,0,0,2
,"CITY OF JANESVILLE WARD 5","1,228",391,824,1,7,,0,0,2,0,0,3
,"CITY OF JANESVILLE WARD 6",868,274,584,4,4,,0,0,1,0,0,1
,"CITY OF JANESVILLE WARD 7","1,494",482,"1,003",3,5,,0,0,0,0,0,1
,"CITY OF JANESVILLE WARD 8","1,214",375,828,3,4,,0,0,2,0,0,2
,"CITY OF JANESVILLE WARD 9","1,011",333,667,2,7,,0,0,0,0,0,2
,"CITY OF JANESVILLE WARD 10",837,247,579,4,6,,0,0,0,0,0,1
,"CITY OF JANESVILLE WARD 11","1,229",361,852,2,12,,0,0,1,0,0,1
,"CITY OF JANESVILLE WARD 12","1,704",796,893,1,9,,0,0,3,0,0,2
,"CITY OF JANESVILLE WARD 13","1,431",483,932,3,6,,2,0,3,0,0,2
,"CITY OF JANESVILLE WARD 14","1,557",569,973,2,9,,0,1,0,0,0,3
,"CITY OF JANESVILLE WARD 15","1,147",351,776,2,14,,0,0,3,0,0,1
,"CITY OF JANESVILLE WARD 16",864,282,575,3,3,,0,0,1,0,0,0
,"CITY OF JANESVILLE WARD 17","1,561",581,963,3,8,,0,1,3,0,0,2
,"CITY OF JANESVILLE WARD 18","1,540",577,948,1,7,,0,0,2,0,0,5
,"CITY OF JANESVILLE WARD 19",380,165,212,0,1,,0,0,1,0,0,1
,"CITY OF JANESVILLE WARD 20",480,226,251,1,0,,0,0,1,0,0,1
,"CITY OF JANESVILLE WARD 21","1,169",549,610,1,9,,0,0,0,0,0,0
,"CITY OF JANESVILLE WARD 22","1,311",655,636,2,10,,1,0,3,0,0,4
,"CITY OF JANESVILLE WARD 23",696,307,386,0,1,,0,0,1,0,0,1
,"CITY OF JANESVILLE WARD 24",936,279,648,0,3,,0,0,3,0,0,3
,"CITY OF JANESVILLE WARD 25","1,304",554,744,2,3,,0,0,0,0,0,1
,"CITY OF JANESVILLE WARD 26",1,1,0,0,0,,0,0,0,0,0,0
,"CITY OF JANESVILLE WARD 27","1,892",890,986,2,8,,0,0,4,0,0,2
,"CITY OF JANESVILLE WARD 28","1,565",670,885,0,8,,0,0,0,0,0,2
,"CITY OF JANESVILLE WARD 29",5,2,3,0,0,,0,0,0,0,0,0
,"CITY OF MILTON WARD 1-8","2,981","1,185","1,750",6,34,,0,0,4,0,0,2
,"County Totals:","80,690","30,517","49,219",170,470,,10,17,148,0,0,139
"RUSK ","TOWN OF ATLANTA WARDS 1-2",312,164,142,1,2,,0,1,1,0,0,1
,"TOWN OF BIG BEND WARDS 1-2",261,126,132,0,2,,0,0,0,0,0,1
,"TOWN OF BIG FALLS WARDS 1",84,47,34,0,2,,0,0,1,0,0,0
,"TOWN OF CEDAR RAPIDS WARDS 1",24,14,8,0,2,,0,0,0,0,0,0
,"TOWN OF DEWEY WARDS 1",303,193,108,1,0,,0,0,0,0,0,1
,"TOWN OF FLAMBEAU WARDS 1-3",532,291,233,3,2,,1,0,2,0,0,0
,"TOWN OF GRANT WARDS 1-5",384,201,179,2,2,,0,0,0,0,0,0
,"TOWN OF GROW WARD 1",219,143,70,2,3,,0,0,1,0,0,0
,"TOWN OF HAWKINS WARD 1",79,40,38,0,0,,0,0,1,0,0,0
,"TOWN OF HUBBARD WARD 1",102,50,49,0,0,,1,0,1,0,0,1
,"TOWN OF LAWRENCE WARDS 1-2",137,81,50,1,5,,0,0,0,0,0,0
,"TOWN OF MARSHALL WARDS 1-2",211,140,71,0,0,,0,0,0,0,0,0
,"TOWN OF MURRY WARD 1",128,67,60,0,0,,0,0,1,0,0,0
,"TOWN OF RICHLAND WARDS 1-2",115,51,60,0,2,,1,0,1,0,0,0
,"TOWN OF RUSK WARD 1",355,167,183,0,2,,0,1,1,0,0,1
,"TOWN OF SOUTH FORK WARD 1",72,42,29,0,1,,0,0,0,0,0,0
,"TOWN OF STRICKLAND WARDS 1-2",141,71,69,0,0,,0,0,1,0,0,0
,"TOWN OF STUBBS WARDS 1-2",346,156,183,2,2,,0,0,2,0,0,1
,"TOWN OF THORNAPPLE WARDS 1-5",429,253,166,2,5,,0,0,3,0,0,0
,"TOWN OF TRUE WARDS 1",157,87,69,0,1,,0,0,0,0,0,0
,"TOWN OF WASHINGTON WARD 1",215,124,90,0,1,,0,0,0,0,0,0
,"TOWN OF WILKINSON WARD 1",25,15,10,0,0,,0,0,0,0,0,0
,"TOWN OF WILLARD WARD 1",225,114,109,0,2,,0,0,0,0,0,0
,"TOWN OF WILSON WARD 1",60,32,25,0,1,,0,0,2,0,0,0
,"VILLAGE OF BRUCE WARD 1",349,165,181,0,1,,0,0,2,0,0,0
,"VILLAGE OF CONRATH WARD 1",40,12,28,0,0,,0,0,0,0,0,0
,"VILLAGE OF GLEN FLORA WARD 1",34,16,16,0,1,,0,0,0,0,0,1
,"VILLAGE OF HAWKINS WARD 1",145,58,82,1,4,,0,0,0,0,0,0
,"VILLAGE OF INGRAM WARD 1",42,14,28,0,0,,0,0,0,0,0,0
,"VILLAGE OF SHELDON WARD 1",96,38,53,2,3,,0,0,0,0,0,0
,"VILLAGE OF TONY WARD 1",51,23,25,1,1,,0,0,0,0,0,1
,"VILLAGE OF WEYERHAEUSER WARD 1-2",101,27,72,0,2,,0,0,0,0,0,0
,"CITY OF LADYSMITH WARDS 1 - 15","1,417",654,745,5,3,,2,0,5,0,0,3
,"County Totals:","7,191","3,676","3,397",23,52,,5,2,25,0,0,11
"ST. CROIX ","TOWN OF BALDWIN WARDS 1 - 2",568,350,215,1,1,,0,0,1,0,0,0
,"TOWN OF CADY WARD 1",485,287,186,1,6,,0,1,3,0,0,1
,"TOWN OF CYLON WARD 1",362,224,133,1,3,,0,0,0,0,0,1
,"TOWN OF EAU GALLE WARDS 1 - 2",653,371,271,0,6,,0,1,0,0,0,4
,"TOWN OF EMERALD WARD 1",412,224,186,0,0,,0,0,1,0,0,1
,"TOWN OF ERIN PRAIRIE WARD 1",389,240,143,1,3,,0,2,0,0,0,0
,"TOWN OF FOREST WARD 1",321,195,116,2,6,,0,0,1,0,0,1
,"TOWN OF GLENWOOD WARD 1",407,251,151,0,5,,0,0,0,0,0,0
,"TOWN OF HAMMOND WARDS 1 - 3","1,205",751,433,0,10,,0,2,2,0,0,7
,"TOWN OF HUDSON Wards 1-14","4,947","3,011","1,866",5,32,,0,1,12,1,0,19
,"TOWN OF KINNICKINNIC WARDS 1 - 3","1,067",585,464,3,6,,0,0,3,0,0,6
,"TOWN OF PLEASANT VALLEY WARD 1",283,163,114,1,5,,0,0,0,0,0,0
,"TOWN OF RICHMOND WARDS 1, 2",967,545,411,2,4,,0,0,2,0,0,3
,"TOWN OF RICHMOND WARDS 3-5",790,465,308,1,10,,0,0,2,0,0,4
,"TOWN OF RUSH RIVER WARD 1",313,159,150,1,2,,0,0,0,0,0,1
,"TOWN OF ST. JOSEPH Wards 1-6","2,344","1,361",939,6,30,,0,0,2,0,0,6
,"TOWN OF SOMERSET WARDS 1 - 6","2,230","1,393",799,4,22,,0,1,5,0,0,6
,"TOWN OF SPRINGFIELD WARD 1",488,244,221,2,11,,2,0,1,0,0,7
,"TOWN OF STANTON WARD 1",513,291,216,1,4,,0,0,1,0,0,0
,"TOWN OF STAR PRAIRIE WARDS 1 - 6","1,897","1,112",740,3,21,,0,2,13,0,0,6
,"TOWN OF TROY Wards 1 - 7","2,933","1,729","1,166",6,19,,1,1,7,0,0,4
,"TOWN OF WARREN WARDS 1 - 3",955,567,370,2,12,,0,0,3,0,0,1
,"VILLAGE OF BALDWIN Wards 1 - 6","1,769",927,809,3,21,,0,0,3,0,0,6
,"VILLAGE OF DEER PARK WARD 1",113,73,37,1,2,,0,0,0,0,0,0
,"VILLAGE OF HAMMOND WARDS 1-4",896,433,445,1,12,,0,0,3,0,0,2
,"VILLAGE OF NORTH HUDSON Wards 1-6","2,255","1,238",991,1,15,,0,1,6,0,0,3
,"VILLAGE OF ROBERTS WARDS 1-4",856,430,413,1,9,,0,0,2,0,0,1
,"VILLAGE OF SOMERSET Wards 1-4","1,131",605,509,2,8,,0,0,4,0,0,3
,"VILLAGE OF STAR PRAIRIE WARD 1",316,169,144,0,2,,0,0,1,0,0,0
,"VILLAGE OF SPRING VALLEY Ward 3",4,2,2,0,0,,0,0,0,0,0,0
,"VILLAGE OF WILSON WARD 1",116,52,64,0,0,,0,0,0,0,0,0
,"VILLAGE OF WOODVILLE Ward 1-2",631,348,267,1,9,,1,0,3,0,0,2
,"CITY OF GLENWOOD CITY Wards 1 - 2",553,274,259,3,10,,0,0,2,0,0,5
,"CITY OF HUDSON Wards 1 & 2",971,478,468,2,18,,0,0,0,0,0,5
,"CITY OF HUDSON Wards 3 & 4","1,307",725,561,1,14,,0,0,1,0,0,5
,"CITY OF HUDSON Wards 5 & 6","1,257",617,619,2,11,,0,0,3,0,0,5
,"CITY OF HUDSON Wards 7 & 8","1,198",595,579,3,19,,0,1,0,0,0,1
,"CITY OF HUDSON Wards 9 & 10","1,218",505,684,1,14,,0,1,7,0,0,6
,"CITY OF HUDSON Wards 11 & 12","1,253",662,573,1,14,,0,0,3,0,0,0
,"CITY OF NEW RICHMOND Wards 1-6","1,867",909,915,1,25,,0,0,10,0,0,7
,"CITY OF NEW RICHMOND Wards 7-12","2,105","1,083",990,6,14,,0,0,1,0,0,11
,"CITY OF RIVER FALLS Wards 1, 2, 3 & 4","1,880",860,983,3,20,,2,0,4,0,0,8
,"County Totals:","46,225","25,503","19,910",76,455,,6,14,112,1,0,148
"SAUK ","TOWN OF BARABOO WARDS 1-4, COMBINED","1,090",470,610,0,2,,0,1,3,0,0,4
,"TOWN OF BEAR CREEK WARD 1",370,122,243,1,2,,0,0,2,0,0,0
,"TOWN OF DELLONA WARDS 1-2, COMBINED",860,388,469,0,2,,0,0,1,0,0,0
,"TOWN OF DELTON WARDS 1-4, COMBINED","1,164",491,666,1,3,,0,0,1,0,0,2
,"TOWN OF EXCELSIOR WARDS 1-3, COMBINED",944,441,498,1,2,,0,1,0,0,0,1
,"TOWN OF FAIRFIELD WARD 1-2, COMBINED",654,247,398,3,3,,0,0,2,0,0,1
,"TOWN OF FRANKLIN WARDS 1-3",394,163,229,0,1,,0,0,1,0,0,0
,"TOWN OF FREEDOM WARDS 1-2, COMBINED",272,127,142,1,2,,0,0,0,0,0,0
,"TOWN OF GREENFIELD WARD 1",594,245,342,1,3,,0,0,0,0,0,3
,"TOWN OF HONEY CREEK WARD 1",431,173,254,2,2,,0,0,0,0,0,0
,"TOWN OF IRONTON WARD 1",296,147,143,0,5,,0,0,1,0,0,0
,"TOWN OF LA VALLE WARDS 1-3",752,362,380,2,5,,0,0,1,0,0,2
,"TOWN OF MERRIMAC Ward 1",652,307,340,1,3,,0,0,1,0,0,0
,"TOWN OF PRAIRIE DU SAC WARDS 1-2, COMBINED",663,289,369,0,4,,0,0,0,0,0,1
,"TOWN OF REEDSBURG WARDS 1-3",663,348,309,0,3,,1,0,1,0,0,1
,"TOWN OF SPRING GREEN WARDS 1-4, COMBINED",986,363,611,2,8,,0,0,2,0,0,0
,"TOWN OF SUMPTER WARDS 1-3",416,165,248,0,2,,0,0,0,0,0,1
,"TOWN OF TROY WARD 1",451,202,246,1,1,,1,0,0,0,0,0
,"TOWN OF WASHINGTON WARD 1-2, COMBINED",388,183,200,1,1,,0,1,1,0,0,1
,"TOWN OF WESTFIELD WARD 1",316,169,145,0,1,,0,0,0,0,0,1
,"TOWN OF WINFIELD Wards 1 & 2",493,236,255,0,1,,0,0,0,0,0,1
,"TOWN OF WOODLAND WARD 1",352,176,171,0,0,,0,0,3,0,0,2
,"VILLAGE OF CAZENOVIA WARD 2",9,3,6,0,0,,0,0,0,0,0,0
,"VILLAGE OF IRONTON WARD 1",111,39,69,0,3,,0,0,0,0,0,0
,"VILLAGE OF LAKE DELTON WARDS 1-3, COMBINED","1,224",462,745,0,9,,0,0,7,0,0,1
,"VILLAGE OF LAVALLE WARD 1",176,68,105,1,2,,0,0,0,0,0,0
,"VILLAGE OF LIME RIDGE WARD 1",87,28,58,0,1,,0,0,0,0,0,0
,"VILLAGE OF LOGANVILLE WARD 1",134,49,82,0,3,,0,0,0,0,0,0
,"VILLAGE OF MERRIMAC WARD 1",260,127,129,0,1,,0,0,2,0,0,1
,"VILLAGE OF NORTH FREEDOM Ward 1",305,101,201,1,2,,0,0,0,0,0,0
,"VILLAGE OF PLAIN WARD 1",457,245,211,0,0,,0,0,1,0,0,0
,"VILLAGE OF PRAIRIE DU SAC WARDS 1 - 4","2,272",767,"1,486",1,9,,0,0,4,0,0,5
,"VILLAGE OF ROCK SPRINGS WARD 1",170,80,87,1,2,,0,0,0,0,0,0
,"VILLAGE OF SAUK CITY WARDS 1, 2, 3, 4 and 5","1,886",593,"1,262",3,13,,1,1,6,0,0,7
,"VILLAGE OF SPRING GREEN WARDS 1-2, COMBINED",934,322,601,1,4,,0,0,3,0,1,2
,"VILLAGE OF WEST BARABOO Wards 1 & 2",672,234,426,0,4,,1,0,2,0,0,5
,"CITY OF BARABOO WARDS 1-2, 11-14","2,216",873,"1,318",3,9,,0,0,4,1,1,7
,"CITY OF BARABOO WARDS 3-6","1,689",599,"1,076",0,12,,0,0,2,0,0,0
,"CITY OF BARABOO WARDS 7-10","1,941",679,"1,227",2,24,,0,0,8,0,0,1
,"CITY OF REEDSBURG Wards 1, 2, 3, & 13",937,366,558,1,4,,0,0,4,0,0,4
,"CITY OF REEDSBURG Wards 4, 6, & 14","1,075",483,581,1,8,,0,0,1,0,0,1
,"CITY OF REEDSBURG Wards 5, 7, 8 & 9","1,318",574,730,2,6,,0,0,0,0,0,6
,"CITY OF REEDSBURG Wards 10, 11 & 12",790,300,481,0,6,,0,0,1,0,0,2
,"CITY OF WISCONSIN DELLS Ward 4",59,31,26,0,1,,0,0,1,0,0,0
,"CITY OF WISCONSIN DELLS Ward 8",4,1,3,0,0,,0,0,0,0,0,0
,"County Totals:","31,927","12,838","18,736",34,179,,4,4,66,1,2,63
"SAWYER ","TOWN OF BASS LAKE WARDS 1-5","1,257",467,778,0,3,,0,0,8,0,0,1
,"TOWN OF COUDERAY ward 1",154,53,101,0,0,,0,0,0,0,0,0
,"TOWN OF DRAPER ward 1",137,67,65,3,2,,0,0,0,0,0,0
,"TOWN OF EDGEWATER WARDS 1-2",344,197,144,0,3,,0,0,0,0,0,0
,"TOWN OF HAYWARD WARDS 1-8","1,688",857,820,4,3,,0,0,3,0,0,1
,"TOWN OF HUNTER Ward 1",407,184,220,0,2,,0,0,1,0,0,0
,"TOWN OF LENROOT WARDS 1-2",814,454,354,2,0,,0,1,2,0,0,1
,"TOWN OF MEADOWBROOK ward 1",81,56,25,0,0,,0,0,0,0,0,0
,"TOWN OF METEOR ward 1",91,52,35,2,1,,0,0,1,0,0,0
,"TOWN OF OJIBWA WARDS 1-2",139,75,62,1,0,,0,0,1,0,0,0
,"TOWN OF RADISSON WARDS 1-2",219,116,96,1,3,,0,0,3,0,0,0
,"TOWN OF ROUND LAKE Wards1-2",694,390,298,0,3,,0,0,1,0,0,2
,"TOWN OF SAND LAKE ward 1",548,271,271,1,2,,0,0,2,0,0,1
,"TOWN OF SPIDER LAKE ward 1",278,147,130,0,0,,0,0,0,0,0,1
,"TOWN OF WEIRGOR ward 1",181,104,73,2,2,,0,0,0,0,0,0
,"TOWN OF WINTER WARDS 1-2",597,318,274,0,2,,0,2,1,0,0,0
,"VILLAGE OF COUDERAY ward 1",48,16,30,0,1,,0,0,1,0,0,0
,"VILLAGE OF EXELAND ward 1",89,41,47,0,1,,0,0,0,0,0,0
,"VILLAGE OF RADISSON ward 1",102,41,58,0,1,,0,0,0,0,0,2
,"VILLAGE OF WINTER ward 1",137,59,71,4,2,,0,1,0,0,0,0
,"CITY OF HAYWARD WARDS 1 -6","1,020",477,534,0,6,,0,0,2,0,0,1
,"County Totals:","9,025","4,442","4,486",20,37,,0,4,26,0,0,10
"SHAWANO ","TOWN OF ALMON WARD 1",278,143,135,0,0,,0,0,0,0,0,0
,"TOWN OF ANGELICA WARDS 1 - 3",989,571,399,4,8,,0,1,3,0,0,3
,"TOWN OF ANIWA WARD 1",266,173,92,0,0,,1,0,0,0,0,0
,"TOWN OF BARTELME Ward 1",352,53,296,0,3,,0,0,0,0,0,0
,"TOWN OF BELLE PLAINE Wards 1 - 3",993,593,392,0,4,,0,1,0,0,0,3
,"TOWN OF BIRNAMWOOD WARD 1",353,189,163,1,0,,0,0,0,0,0,0
,"TOWN OF FAIRBANKS WARD 1",328,220,105,0,2,,0,0,0,0,0,1
,"TOWN OF GERMANIA WARD",179,80,98,0,0,,0,1,0,0,0,0
,"TOWN OF GRANT WARD 1 - 2",517,328,181,1,2,,0,0,3,0,0,2
,"TOWN OF GREEN VALLEY WARD 1 - 2",513,288,215,4,6,,0,0,0,0,0,0
,"TOWN OF HARTLAND WARD 1",369,265,102,0,1,,0,0,0,0,0,1
,"TOWN OF HERMAN WARD 1 - 2",399,232,164,0,1,,0,0,0,0,0,2
,"TOWN OF HUTCHINS WARD 1",301,190,109,0,2,,0,0,0,0,0,0
,"TOWN OF LESSOR WARD 1 - 2",637,393,231,0,10,,0,0,3,0,0,0
,"TOWN OF MAPLE GROVE Ward 1",512,288,218,1,3,,0,0,1,0,0,1
,"TOWN OF MORRIS Ward 1",235,131,98,3,3,,0,0,0,0,0,0
,"TOWN OF NAVARINO Ward 1",244,144,98,0,2,,0,0,0,0,0,0
,"TOWN OF PELLA Ward 1",477,295,178,0,3,,1,0,0,0,0,0
,"TOWN OF RED SPRINGS Wards 1 - 2",464,166,296,0,2,,0,0,0,0,0,0
,"TOWN OF RICHMOND Wards 1-3","1,050",662,383,2,2,,0,0,0,0,0,1
,"TOWN OF SENECA Ward 1",298,163,128,0,6,,0,0,0,0,0,1
,"TOWN OF WASHINGTON Wards 1 - 3","1,013",588,414,2,5,,0,0,1,0,0,3
,"TOWN OF WAUKECHON Wards 1 - 2",531,314,203,0,10,,2,0,1,0,0,1
,"TOWN OF WESCOTT Ward 1-4","1,701",901,781,1,14,,1,0,0,0,0,3
,"TOWN OF WITTENBERG Wards 1 - 2",453,262,184,3,2,,0,0,2,0,0,0
,"VILLAGE OF ANIWA Ward 1",118,63,54,1,0,,0,0,0,0,0,0
,"VILLAGE OF BIRNAMWOOD Ward 1",330,164,158,0,5,,0,0,3,0,0,0
,"VILLAGE OF BONDUEL Wards 1 - 2",686,429,242,3,11,,0,0,0,0,0,1
,"VILLAGE OF BOWLER Ward 1",128,52,76,0,0,,0,0,0,0,0,0
,"VILLAGE OF CECIL Ward 1",301,182,116,2,1,,0,0,0,0,0,0
,"VILLAGE OF ELAND Ward 1",127,44,83,0,0,,0,0,0,0,0,0
,"VILLAGE OF GRESHAM Ward 1",272,122,146,1,2,,0,0,0,0,0,1
,"VILLAGE OF MATTOON Ward 1",163,82,78,0,2,,1,0,0,0,0,0
,"VILLAGE OF PULASKI Wards 4 & 7",68,39,29,0,0,,0,0,0,0,0,0
,"VILLAGE OF TIGERTON Ward 1",335,174,158,0,1,,0,1,1,0,0,0
,"VILLAGE OF WITTENBERG Wards 1 - 2",390,179,206,3,2,,0,0,0,0,0,0
,"CITY OF MARION Wards 4-6",7,3,4,0,0,,0,0,0,0,0,0
,"CITY OF SHAWANO Wards 1 & 2",641,321,311,1,5,,0,0,1,0,0,2
,"CITY OF SHAWANO Wards 3 & 4",645,326,306,3,7,,0,0,2,0,0,1
,"CITY OF SHAWANO Wards 5 & 6",639,274,358,0,4,,0,0,3,0,0,0
,"CITY OF SHAWANO Wards 7 & 8",591,269,310,3,4,,0,0,3,0,0,2
,"CITY OF SHAWANO Wards 9 & 10",704,337,357,0,3,,0,0,2,0,0,5
,"CITY OF SHAWANO Wards 11 & 12",682,330,345,1,1,,0,0,3,0,0,2
,"County Totals:","20,279","11,022","9,000",40,139,,6,4,32,0,0,36
"SHEBOYGAN ","TOWN OF GREENBUSH Wards 1 - 3",925,565,357,0,3,,0,0,0,0,0,0
,"TOWN OF HERMAN WARDS 1 - 3","1,125",660,450,2,10,,0,1,1,0,0,1
,"TOWN OF HOLLAND Wards 1 - 3","1,515","1,151",354,0,5,,1,0,3,0,0,1
,"TOWN OF LIMA Wards 1 - 4","1,817","1,321",475,4,10,,1,0,3,1,1,1
,"TOWN OF LYNDON Wards 1 - 3",952,639,303,4,4,,0,0,1,0,0,1
,"TOWN OF MITCHELL Wards 1 - 3",773,507,259,0,5,,0,0,2,0,0,0
,"TOWN OF MOSEL Ward 1",509,298,206,1,4,,0,0,0,0,0,0
,"TOWN OF PLYMOUTH Wards 1 - 4","1,978","1,212",753,4,6,,1,1,1,0,0,0
,"TOWN OF RHINE Wards 1 - 3","1,428",836,577,3,7,,0,1,4,0,0,0
,"TOWN OF RUSSELL Ward 1",222,158,61,0,0,,0,0,3,0,0,0
,"TOWN OF SCOTT Wards 1-3","1,081",798,274,0,8,,0,0,1,0,0,0
,"TOWN OF SHEBOYGAN WARD 1 2 3 4 5 FIREHOUSE","2,545","1,408","1,123",4,7,,0,1,1,1,0,0
,"TOWN OF SHEBOYGAN WARD 6 7 8 9 10 TOWN HALL","2,068","1,166",879,2,14,,3,0,4,0,0,0
,"TOWN OF SHEBOYGAN FALLS Wards 1-3","1,041",651,380,1,7,,0,0,2,0,0,0
,"TOWN OF SHERMAN Wards 1 - 2",940,674,257,3,5,,0,0,1,0,0,0
,"TOWN OF WILSON WARDS 1-4","2,312","1,364",934,4,8,,0,0,2,0,0,0
,"VILLAGE OF ADELL Ward 1",295,200,85,1,5,,0,0,2,1,1,0
,"VILLAGE OF CASCADE Ward 1",381,237,137,2,2,,0,0,0,0,0,3
,"VILLAGE OF CEDAR GROVE Wards 1 - 3","1,210",950,247,1,8,,0,0,3,0,0,1
,"VILLAGE OF ELKHART LAKE Wards 1 - 2",679,366,294,2,9,,0,0,5,1,1,1
,"VILLAGE OF GLENBEULAH Ward 1",284,140,144,0,0,,0,0,0,0,0,0
,"VILLAGE OF HOWARDS GROVE WARDS 1-4","1,946","1,144",785,3,8,,0,0,4,0,0,2
,"VILLAGE OF KOHLER Wards 1 - 3","1,354",848,502,1,3,,0,0,0,0,0,0
,"VILLAGE OF OOSTBURG WARDS 1-4","1,855","1,515",321,5,10,,0,0,1,0,0,3
,"VILLAGE OF RANDOM LAKE Wards 1 - 2",955,667,280,2,2,,0,2,2,0,0,0
,"VILLAGE OF WALDO Ward 1",282,183,97,0,2,,0,0,0,0,0,0
,"CITY OF PLYMOUTH Wards 1-3","1,118",585,519,3,6,,0,1,2,0,0,2
,"CITY OF PLYMOUTH Wards 4-6","1,209",649,546,3,8,,0,0,3,0,0,0
,"CITY OF PLYMOUTH Wards 7-9","1,145",637,492,3,10,,0,0,3,0,0,0
,"CITY OF PLYMOUTH Wards 10-12","1,107",673,427,0,4,,0,0,3,0,0,0
,"CITY OF SHEBOYGAN WARD 01","1,386",617,755,3,7,,0,0,4,0,0,0
,"CITY OF SHEBOYGAN WARD 02","1,057",468,584,0,4,,0,0,1,0,0,0
,"CITY OF SHEBOYGAN WARD 03",936,434,484,3,7,,0,0,8,0,0,0
,"CITY OF SHEBOYGAN WARD 04",888,294,583,1,8,,0,0,0,0,0,2
,"CITY OF SHEBOYGAN WARD 05","1,143",500,631,2,7,,1,0,2,0,0,0
,"CITY OF SHEBOYGAN WARD 06",261,114,147,0,0,,0,0,0,0,0,0
,"CITY OF SHEBOYGAN WARD 07",115,50,62,1,1,,0,0,0,0,0,1
,"CITY OF SHEBOYGAN WARD 08",518,234,276,1,5,,0,0,1,0,0,1
,"CITY OF SHEBOYGAN WARD 09",145,52,93,0,0,,0,0,0,0,0,0
,"CITY OF SHEBOYGAN WARD 10",911,292,596,3,15,,0,0,4,0,0,1
,"CITY OF SHEBOYGAN WARD 11",878,315,549,1,10,,0,1,2,0,0,0
,"CITY OF SHEBOYGAN WARD 12",823,402,414,2,3,,0,0,2,0,0,0
,"CITY OF SHEBOYGAN WARD 13","1,232",453,756,2,14,,0,0,7,0,0,0
,"CITY OF SHEBOYGAN WARD 14",727,242,473,3,5,,0,1,3,0,0,0
,"CITY OF SHEBOYGAN WARD 15",450,155,289,1,3,,0,0,1,0,0,1
