"G.A.B. Canvass Reporting System",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,
,,,,,,,,,,,,,
"2012 PRESIDENTIAL AND GENERAL ELECTION",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President of the United States",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","IND",,"IND","IND","IND","IND","IND",
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY",,"GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)","ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
,"CITY OF BAYFIELD Wards 1-4",354,90,260,0,0,,0,0,4,0,0,0
,"CITY OF WASHBURN Wards 1 - 4","1,185",290,878,4,6,,0,0,5,0,0,2
,"County Totals:","9,788","3,603","6,033",17,55,,0,1,67,0,0,12
"BROWN ","TOWN OF EATON Wards 1-2",906,483,409,1,8,,0,0,2,0,0,3
,"TOWN OF GLENMORE Wards 1 - 2",637,377,255,1,3,,0,0,0,0,0,1
,"TOWN OF GREEN BAY Wards 1 - 3","1,169",704,454,2,4,,1,1,1,0,0,2
,"TOWN OF HOLLAND Wards 1 - 2",900,554,331,1,12,,0,0,2,0,0,0
,"TOWN OF HUMBOLDT Wards 1 - 2",756,421,326,1,3,,0,1,4,0,0,0
,"TOWN OF LAWRENCE Wards 1 - 6","2,708","1,665","1,016",6,15,,0,0,2,0,0,4
,"TOWN OF LEDGEVIEW WARDS 1-3, 8-10","2,127","1,322",789,0,11,,0,0,3,0,0,2
,"TOWN OF LEDGEVIEW WARDS 4-7","1,917","1,206",699,2,7,,0,0,3,0,0,0
,"TOWN OF MORRISON Wards 1-2",900,624,269,1,1,,0,0,3,0,0,2
,"TOWN OF NEW DENMARK Wards 1 - 3",916,501,408,1,2,,0,0,3,0,0,1
,"TOWN OF PITTSFIELD Wards 1 - 3","1,631",996,617,3,11,,0,0,3,0,0,1
,"TOWN OF ROCKLAND Wards 1 - 3","1,057",684,366,2,3,,0,1,1,0,0,0
,"TOWN OF SCOTT Wards 1-4","2,255","1,213","1,019",0,12,,1,0,6,0,0,4
