city,county,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12
TOWN OF SEVEN MILE CREEK,JUNEAU,168,97,65,1,5,0,0,0,0,170,75,94,0,1,0,0
TOWN OF SUMMIT,JUNEAU,327,202,112,3,10,0,0,0,0,330,173,157,0,0,0,0
TOWN OF WONEWOC,JUNEAU,325,207,105,2,9,0,2,0,0,335,171,157,1,6,0,0
VILLAGE OF CAMP DOUGLAS,JUNEAU,276,183,81,1,7,0,0,0,4,257,120,133,1,3,0,0
VILLAGE OF HUSTLER,JUNEAU,102,57,45,0,0,0,0,0,0,92,32,58,0,2,0,0
VILLAGE OF LYNDON STATION,JUNEAU,201,97,90,2,5,0,2,0,5,210,61,146,1,2,0,0
VILLAGE OF NECEDAH,JUNEAU,385,219,138,4,16,0,2,1,5,419,183,226,1,8,0,0
VILLAGE OF UNION CENTER,JUNEAU,98,60,33,1,3,0,1,0,0,101,42,57,0,2,0,0
VILLAGE OF WONEWOC,JUNEAU,336,178,133,1,13,0,7,2,2,370,132,235,0,3,0,0
CITY OF ELROY,JUNEAU,555,289,220,1,26,0,12,1,6,601,220,362,2,10,0,0
CITY OF MAUSTON,JUNEAU,1593,840,679,4,36,0,19,5,10,1666,660,978,5,12,0,0
CITY OF NEW LISBON,JUNEAU,605,389,177,3,19,0,10,4,3,609,290,311,0,8,0,0
TOWN OF BRIGHTON,KENOSHA,881,589,259,2,26,0,2,3,0,894,575,313,0,3,0,0
TOWN OF PARIS,KENOSHA,912,568,293,5,32,0,4,10,0,953,572,369,1,10,0,0
TOWN OF RANDALL,KENOSHA,1733,1105,518,7,70,0,21,12,0,1728,1005,708,3,10,0,0
TOWN OF SALEM,KENOSHA,5793,3589,1832,43,237,0,61,31,0,5910,3336,2485,8,70,0,0
TOWN OF SOMERS,KENOSHA,555,296,232,3,12,0,6,6,0,5190,2427,2689,5,55,0,0
TOWN OF WHEATLAND,KENOSHA,1775,1119,557,6,77,0,8,8,0,1811,1078,708,2,19,0,0
VILLAGE OF BRISTOL,KENOSHA,2819,1819,854,11,86,0,23,26,0,2859,1754,1074,7,17,0,0
VILLAGE OF PADDOCK LAKE,KENOSHA,1411,834,495,6,46,0,21,9,0,1521,811,684,2,21,0,0
VILLAGE OF PLEASANT PRAIRIE,KENOSHA,11069,5814,4644,46,381,0,86,98,0,10988,5619,5241,15,88,0,0
VILLAGE OF SILVER LAKE,KENOSHA,1205,751,383,4,44,0,13,10,0,1200,643,546,4,7,0,0
VILLAGE OF SOMERS,KENOSHA,4256,2123,1900,15,141,0,39,38,0,5190,2427,2689,5,55,0,0
VILLAGE OF TWIN LAKES,KENOSHA,2688,1595,959,12,90,0,19,13,0,2693,1433,1233,1,22,0,0
CITY OF KENOSHA,KENOSHA,41207,15835,22873,172,1491,0,565,271,0,45148,15722,28817,49,464,0,0
TOWN OF AHNAPEE,KEWAUNEE,481,258,191,2,27,0,3,0,0,522,246,270,2,4,0,0
TOWN OF CARLTON,KEWAUNEE,580,368,181,3,27,0,0,1,0,601,318,275,2,5,0,0
TOWN OF CASCO,KEWAUNEE,622,425,179,2,12,0,2,2,0,648,377,267,0,4,0,0
TOWN OF FRANKLIN,KEWAUNEE,572,356,184,1,24,0,5,2,0,555,284,260,3,7,0,0
TOWN OF LINCOLN,KEWAUNEE,481,316,142,4,13,0,6,0,0,492,247,240,0,5,0,0
TOWN OF LUXEMBURG,KEWAUNEE,839,609,195,8,20,0,4,3,0,849,556,286,1,6,0,0
TOWN OF MONTPELIER,KEWAUNEE,792,530,223,6,28,0,4,1,0,791,471,309,4,7,0,0
TOWN OF PIERCE,KEWAUNEE,436,229,193,2,10,0,2,0,0,474,219,250,1,3,0,0
TOWN OF RED RIVER,KEWAUNEE,810,522,250,5,23,0,5,5,0,814,462,341,2,5,0,0
TOWN OF WEST KEWAUNEE,KEWAUNEE,738,521,185,5,19,0,3,5,0,677,399,268,2,7,0,0
VILLAGE OF CASCO,KEWAUNEE,283,184,83,1,12,0,1,2,0,284,159,121,0,4,0,0
VILLAGE OF LUXEMBURG,KEWAUNEE,1252,809,393,7,35,0,7,1,0,1302,709,581,3,7,0,0
CITY OF ALGOMA,KEWAUNEE,1477,696,694,12,50,0,23,2,0,1542,631,889,4,16,0,0
CITY OF KEWAUNEE,KEWAUNEE,1404,795,534,6,49,0,14,6,0,1486,669,796,3,14,0,0
TOWN OF BANGOR,LA CROSSE,296,172,104,2,9,0,1,1,7,313,170,137,1,4,0,0
TOWN OF BARRE,LA CROSSE,732,459,228,6,26,0,6,2,5,712,386,313,2,10,0,0
TOWN OF BURNS,LA CROSSE,522,306,188,3,13,0,9,0,3,559,266,290,1,0,0,0
TOWN OF CAMPBELL,LA CROSSE,2464,1104,1192,17,94,0,26,5,26,2545,985,1525,3,29,0,0
TOWN OF FARMINGTON,LA CROSSE,1087,585,445,3,33,0,15,2,4,1060,441,604,1,10,0,0
TOWN OF GREENFIELD,LA CROSSE,1184,571,545,1,32,0,14,7,14,1183,579,590,1,12,0,0
TOWN OF HAMILTON,LA CROSSE,1433,828,533,5,44,0,12,5,6,1453,785,654,2,10,0,0
TOWN OF HOLLAND,LA CROSSE,2384,1274,934,22,99,0,22,11,22,2251,1138,1069,10,30,0,0
TOWN OF MEDARY,LA CROSSE,974,440,462,4,30,0,11,16,11,982,480,486,1,10,0,0
TOWN OF ONALASKA,LA CROSSE,3306,1718,1380,26,114,0,22,20,26,3282,1651,1604,3,21,0,0
TOWN OF SHELBY,LA CROSSE,3008,1298,1527,14,97,0,31,8,33,3088,1417,1641,4,24,0,0
TOWN OF WASHINGTON,LA CROSSE,323,155,145,1,17,0,1,2,2,322,135,178,5,2,0,0
VILLAGE OF BANGOR,LA CROSSE,742,353,340,2,35,0,6,3,3,742,317,416,3,5,0,0
VILLAGE OF HOLMEN,LA CROSSE,4756,2188,2234,30,191,0,52,18,43,4598,1934,2596,12,49,0,0
VILLAGE OF ROCKLAND,LA CROSSE,312,157,124,3,17,0,5,3,3,295,143,144,1,5,0,0
VILLAGE OF WEST SALEM,LA CROSSE,2725,1297,1227,15,110,0,26,22,28,2469,1117,1311,7,30,0,0
CITY OF LA CROSSE,LA CROSSE,27481,9050,15948,116,1342,0,546,141,338,27763,9109,18093,59,421,0,0
CITY OF ONALASKA,LA CROSSE,9945,4423,4850,43,370,0,114,48,97,9845,4698,5042,13,80,0,0
TOWN OF ARGYLE,LAFAYETTE,232,116,108,2,3,0,1,0,2,246,102,142,0,2,0,0
TOWN OF BELMONT,LAFAYETTE,319,184,118,4,9,0,3,1,0,318,149,165,2,2,0,0
TOWN OF BENTON,LAFAYETTE,244,156,77,0,6,0,3,0,2,250,126,124,0,0,0,0
TOWN OF BLANCHARD,LAFAYETTE,167,66,91,0,7,0,2,0,1,175,65,102,0,7,0,0
TOWN OF DARLINGTON,LAFAYETTE,496,295,179,2,14,0,2,3,1,489,244,242,1,2,0,0
TOWN OF ELK GROVE,LAFAYETTE,205,131,66,1,6,0,1,0,0,210,102,101,2,5,0,0
TOWN OF FAYETTE,LAFAYETTE,177,104,66,2,4,0,1,0,0,172,74,95,1,2,0,0
TOWN OF GRATIOT,LAFAYETTE,281,182,91,0,5,0,1,0,2,285,156,127,0,1,0,0
TOWN OF KENDALL,LAFAYETTE,174,112,57,0,1,0,2,0,2,183,86,93,0,4,0,0
TOWN OF LAMONT,LAFAYETTE,159,84,66,0,5,0,3,1,0,159,68,89,0,2,0,0
TOWN OF MONTICELLO,LAFAYETTE,68,46,14,1,4,0,1,0,2,60,37,21,0,1,0,0
TOWN OF NEW DIGGINGS,LAFAYETTE,238,137,89,1,7,0,2,0,2,251,107,141,1,2,0,0
TOWN OF SEYMOUR,LAFAYETTE,161,95,61,0,3,0,1,0,1,156,77,77,0,2,0,0
TOWN OF SHULLSBURG,LAFAYETTE,160,87,70,0,3,0,0,0,0,178,71,106,0,1,0,0
TOWN OF WAYNE,LAFAYETTE,235,155,63,4,10,0,1,0,2,226,136,88,0,1,0,0
TOWN OF WHITE OAK SPRINGS,LAFAYETTE,63,44,18,0,1,0,0,0,0,59,31,28,0,0,0,0
TOWN OF WILLOW SPRINGS,LAFAYETTE,360,213,130,2,9,0,2,2,2,378,198,169,0,9,0,0
TOWN OF WIOTA,LAFAYETTE,422,225,180,1,13,0,2,0,1,452,200,251,0,1,0,0
VILLAGE OF ARGYLE,LAFAYETTE,358,137,193,0,20,0,3,0,5,408,128,274,1,5,0,0
VILLAGE OF BELMONT,LAFAYETTE,446,214,199,6,21,0,3,1,2,453,202,249,0,2,0,0
VILLAGE OF BENTON,LAFAYETTE,430,190,222,1,15,0,1,0,1,464,143,317,3,1,0,0
VILLAGE OF BLANCHARDVILLE,LAFAYETTE,300,105,178,3,9,0,2,1,2,337,105,230,0,2,0,0
VILLAGE OF GRATIOT,LAFAYETTE,102,48,51,0,3,0,0,0,0,114,40,73,1,0,0,0
VILLAGE OF HAZEL GREEN,LAFAYETTE,10,7,3,0,0,0,0,0,0,7,3,4,0,0,0,0
VILLAGE OF SOUTH WAYNE,LAFAYETTE,198,116,72,2,5,0,0,2,1,193,83,103,2,4,0,0
CITY OF CUBA CITY,LAFAYETTE,124,57,59,2,3,0,0,0,3,120,41,78,0,1,0,0
CITY OF DARLINGTON,LAFAYETTE,1018,454,504,6,33,0,9,7,5,1041,381,647,3,8,0,0
CITY OF SHULLSBURG,LAFAYETTE,515,217,263,6,19,0,3,2,5,568,159,400,0,9,0,0
TOWN OF ACKLEY,LANGLADE,283,185,84,1,11,0,0,2,0,285,162,119,0,3,0,0
TOWN OF AINSWORTH,LANGLADE,279,186,81,0,7,0,1,1,3,290,144,141,0,3,0,0
TOWN OF ANTIGO,LANGLADE,797,536,224,6,24,0,4,1,2,822,507,313,2,0,0,0
TOWN OF ELCHO,LANGLADE,769,495,246,2,23,0,2,1,0,795,421,370,1,3,0,0
TOWN OF EVERGREEN,LANGLADE,278,195,72,1,5,0,1,1,3,280,157,122,0,1,0,0
TOWN OF LANGLADE,LANGLADE,280,180,90,6,4,0,0,0,0,280,151,127,0,1,0,0
TOWN OF NEVA,LANGLADE,503,318,152,0,20,0,3,6,4,533,310,220,0,3,0,0
TOWN OF NORWOOD,LANGLADE,534,370,136,2,21,0,5,0,0,524,331,190,1,2,0,0
TOWN OF PARRISH,LANGLADE,57,41,14,0,2,0,0,0,0,60,27,32,0,1,0,0
TOWN OF PECK,LANGLADE,190,139,43,2,4,0,0,0,2,187,115,68,0,2,0,0
TOWN OF POLAR,LANGLADE,575,379,157,2,20,0,6,3,8,613,373,231,1,6,0,0
TOWN OF PRICE,LANGLADE,134,86,42,1,2,0,1,2,0,125,68,54,0,1,0,0
TOWN OF ROLLING,LANGLADE,786,537,221,1,12,0,7,0,8,800,476,319,2,3,0,0
TOWN OF SUMMIT,LANGLADE,98,69,22,1,4,0,2,0,0,98,55,35,1,7,0,0
TOWN OF UPHAM,LANGLADE,496,325,160,0,7,0,2,0,2,490,308,182,0,0,0,0
TOWN OF VILAS,LANGLADE,128,95,27,1,5,0,0,0,0,134,85,47,0,2,0,0
TOWN OF WOLF RIVER,LANGLADE,453,303,135,3,10,0,2,0,0,462,262,194,3,1,0,0
VILLAGE OF WHITE LAKE,LANGLADE,150,86,56,0,5,0,2,1,0,174,77,95,1,0,0,0
CITY OF ANTIGO,LANGLADE,3396,1953,1288,12,92,0,30,10,11,3567,1787,1714,14,37,0,0
TOWN OF BIRCH,LINCOLN,247,163,72,0,7,0,3,0,2,243,126,116,0,1,0,0
TOWN OF BRADLEY,LINCOLN,1460,837,543,4,45,0,11,6,14,1543,745,783,2,12,0,0
TOWN OF CORNING,LINCOLN,460,293,144,2,16,0,0,2,3,446,237,205,3,1,0,0
TOWN OF HARDING,LINCOLN,244,146,87,1,7,0,2,0,1,237,126,110,0,1,0,0
TOWN OF HARRISON,LINCOLN,550,327,194,3,20,0,2,1,3,544,291,248,0,2,0,0
TOWN OF KING,LINCOLN,608,342,234,1,17,0,1,2,11,596,300,290,0,6,0,0
TOWN OF MERRILL,LINCOLN,1628,988,549,6,64,0,12,0,9,1638,876,746,3,10,0,0
TOWN OF PINE RIVER,LINCOLN,1089,679,347,6,43,0,4,1,9,1113,620,479,1,8,0,0
TOWN OF ROCK FALLS,LINCOLN,365,232,115,0,9,0,5,0,4,377,214,160,3,0,0,0
TOWN OF RUSSELL,LINCOLN,307,191,103,2,8,0,0,0,3,347,171,167,3,5,0,0
TOWN OF SCHLEY,LINCOLN,476,322,131,2,16,0,1,1,3,474,260,211,1,2,0,0
TOWN OF SCOTT,LINCOLN,808,497,247,3,42,0,6,4,9,809,457,339,4,8,0,0
TOWN OF SKANAWAN,LINCOLN,248,139,82,2,14,0,5,1,5,276,136,135,1,4,0,0
TOWN OF SOMO,LINCOLN,69,47,14,0,4,0,4,0,0,77,35,41,0,1,0,0
TOWN OF TOMAHAWK,LINCOLN,286,184,88,0,7,0,1,0,6,257,125,129,0,3,0,0
TOWN OF WILSON,LINCOLN,200,131,63,2,3,0,1,0,0,201,92,108,0,1,0,0
CITY OF MERRILL,LINCOLN,4056,2030,1707,22,203,0,40,12,42,4379,1900,2406,12,45,0,0
CITY OF TOMAHAWK,LINCOLN,1611,853,651,8,71,0,16,4,8,1659,744,890,4,19,0,0
TOWN OF CATO,MANITOWOC,907,585,255,4,34,0,8,8,13,946,557,377,2,10,0,0
TOWN OF CENTERVILLE,MANITOWOC,402,241,128,1,12,0,7,3,10,368,217,143,4,4,0,0
TOWN OF COOPERSTOWN,MANITOWOC,738,468,228,6,24,0,4,2,6,768,435,323,5,4,0,0
TOWN OF EATON,MANITOWOC,477,310,139,3,13,0,3,5,4,485,291,189,2,2,0,0
TOWN OF FRANKLIN,MANITOWOC,672,431,190,3,24,0,6,3,15,707,451,249,1,5,0,0
TOWN OF GIBSON,MANITOWOC,764,475,231,9,28,0,5,0,16,754,406,329,6,8,0,0
TOWN OF KOSSUTH,MANITOWOC,1157,730,355,5,43,0,5,11,8,1200,650,537,3,7,0,0
TOWN OF LIBERTY,MANITOWOC,733,512,180,6,18,0,3,4,10,748,479,265,1,2,0,0
TOWN OF MANITOWOC,MANITOWOC,594,372,178,5,21,0,5,0,13,604,321,271,1,10,0,0
TOWN OF MANITOWOC RAPIDS,MANITOWOC,1443,907,430,8,41,0,5,23,29,1527,982,531,3,11,0,0
TOWN OF MAPLE GROVE,MANITOWOC,448,352,80,0,11,0,2,0,3,444,311,130,1,2,0,0
TOWN OF MEEME,MANITOWOC,858,540,245,9,40,0,5,4,15,863,499,349,5,8,0,0
TOWN OF MISHICOT,MANITOWOC,692,466,190,1,25,0,3,2,5,693,393,290,0,6,0,0
TOWN OF NEWTON,MANITOWOC,1317,890,352,6,35,0,6,11,17,1350,843,484,4,17,0,0
TOWN OF ROCKLAND,MANITOWOC,534,392,119,0,13,0,3,1,6,527,338,183,2,0,0,0
TOWN OF SCHLESWIG,MANITOWOC,1148,721,363,6,34,0,4,10,10,1210,703,495,2,9,0,0
TOWN OF TWO CREEKS,MANITOWOC,230,145,69,1,8,0,2,3,2,246,147,91,1,7,0,0
TOWN OF TWO RIVERS,MANITOWOC,997,593,347,2,35,0,5,6,9,1040,527,500,3,7,0,0
VILLAGE OF CLEVELAND,MANITOWOC,793,438,288,4,34,0,7,5,17,774,394,368,1,7,0,0
VILLAGE OF FRANCIS CREEK,MANITOWOC,357,222,114,1,14,0,3,0,3,395,187,203,1,1,0,0
VILLAGE OF KELLNERSVILLE,MANITOWOC,172,100,57,0,9,0,4,0,2,171,84,85,0,2,0,0
VILLAGE OF MARIBEL,MANITOWOC,174,106,57,2,7,0,1,0,1,184,96,84,0,4,0,0
VILLAGE OF MISHICOT,MANITOWOC,742,455,253,2,19,0,4,2,7,779,392,381,2,3,0,0
VILLAGE OF REEDSVILLE,MANITOWOC,556,364,165,1,20,0,1,0,5,585,306,272,1,4,0,0
VILLAGE OF ST. NAZIANZ,MANITOWOC,352,229,96,3,12,0,2,6,4,362,188,162,3,9,0,0
VILLAGE OF VALDERS,MANITOWOC,519,339,152,1,20,0,3,0,4,505,281,219,0,5,0,0
VILLAGE OF WHITELAW,MANITOWOC,389,235,128,5,13,0,1,1,6,424,229,188,1,5,0,0
CITY OF KIEL,MANITOWOC,1873,1093,633,7,88,0,12,12,28,1895,1041,829,1,18,0,0
CITY OF MANITOWOC,MANITOWOC,15401,7806,6341,97,633,0,156,108,260,16297,7438,8621,34,179,0,0
CITY OF TWO RIVERS,MANITOWOC,5347,2727,2175,34,234,0,72,35,70,5766,2418,3255,21,59,0,0
TOWN OF BERGEN,MARATHON,435,254,165,1,9,0,4,1,1,417,207,204,2,4,0,0
TOWN OF BERLIN,MARATHON,532,380,132,2,13,0,2,0,3,557,392,164,0,1,0,0
TOWN OF BERN,MARATHON,225,149,68,0,7,0,1,0,0,220,118,99,1,2,0,0
TOWN OF BEVENT,MARATHON,615,347,247,4,13,0,1,1,2,627,266,357,1,2,0,0
TOWN OF BRIGHTON,MARATHON,249,204,41,0,2,0,1,0,1,248,165,76,2,3,0,0
TOWN OF CASSEL,MARATHON,541,353,161,2,18,0,4,1,2,532,290,234,0,7,0,0
TOWN OF CLEVELAND,MARATHON,778,513,222,6,27,0,1,6,3,728,443,281,2,2,0,0
TOWN OF DAY,MARATHON,601,413,165,4,14,0,0,1,4,586,354,227,1,3,0,0
TOWN OF EASTON,MARATHON,704,486,193,4,16,0,4,1,0,682,431,238,2,9,0,0
TOWN OF EAU PLEINE,MARATHON,387,275,92,0,14,0,3,2,1,395,262,129,0,4,0,0
TOWN OF ELDERON,MARATHON,347,235,97,0,10,0,2,2,1,336,197,136,1,2,0,0
TOWN OF EMMET,MARATHON,525,316,177,3,22,0,2,3,2,507,256,242,1,8,0,0
TOWN OF FRANKFORT,MARATHON,301,213,73,2,5,0,8,0,0,321,195,120,1,4,0,0
TOWN OF FRANZEN,MARATHON,301,209,80,1,8,0,1,1,1,285,171,108,2,3,0,0
TOWN OF GREEN VALLEY,MARATHON,327,202,100,5,15,0,3,0,2,325,199,122,1,3,0,0
TOWN OF GUENTHER,MARATHON,214,142,64,2,4,0,1,0,1,204,113,88,0,2,0,0
TOWN OF HALSEY,MARATHON,264,187,61,1,10,0,1,3,1,291,174,114,0,2,0,0
TOWN OF HAMBURG,MARATHON,437,280,136,5,10,0,4,2,0,437,262,171,1,3,0,0
TOWN OF HARRISON,MARATHON,182,121,49,1,9,0,1,1,0,189,118,67,1,3,0,0
TOWN OF HEWITT,MARATHON,346,232,102,1,7,0,2,1,1,344,202,140,0,2,0,0
TOWN OF HOLTON,MARATHON,400,300,84,2,11,0,3,0,0,384,245,131,0,7,0,0
TOWN OF HULL,MARATHON,312,226,68,0,12,0,3,1,2,301,214,85,0,2,0,0
TOWN OF JOHNSON,MARATHON,368,239,107,2,16,0,2,0,2,382,223,158,0,1,0,0
TOWN OF KNOWLTON,MARATHON,1142,685,409,4,37,0,4,1,2,1119,649,462,3,3,0,0
TOWN OF MARATHON,MARATHON,603,422,154,1,19,0,2,1,4,645,426,212,3,2,0,0
TOWN OF MCMILLAN,MARATHON,1188,700,430,3,34,0,6,5,10,1179,691,472,2,10,0,0
TOWN OF MOSINEE,MARATHON,1261,789,410,7,40,0,8,3,4,1222,692,519,4,6,0,0
TOWN OF NORRIE,MARATHON,530,330,173,2,20,0,1,0,4,523,273,243,1,4,0,0
TOWN OF PLOVER,MARATHON,351,223,111,4,7,0,2,1,3,337,181,150,1,2,0,0
TOWN OF REID,MARATHON,687,410,244,5,16,0,5,0,7,665,338,322,0,5,0,0
TOWN OF RIB FALLS,MARATHON,559,410,124,4,17,0,2,0,2,568,372,193,0,3,0,0
TOWN OF RIB MOUNTAIN,MARATHON,4390,2480,1667,22,145,0,24,16,36,4450,2557,1845,8,33,0,0
TOWN OF RIETBROCK,MARATHON,487,330,136,6,10,0,1,1,3,478,282,191,2,3,0,0
TOWN OF RINGLE,MARATHON,1041,633,357,5,25,0,12,4,5,1037,586,442,3,4,0,0
TOWN OF SPENCER,MARATHON,802,531,233,3,19,0,5,6,5,750,411,329,0,5,0,0
TOWN OF STETTIN,MARATHON,1483,932,479,3,50,0,7,4,8,1522,942,561,3,14,0,0
TOWN OF TEXAS,MARATHON,992,631,321,4,22,0,7,3,4,1001,550,436,3,9,0,0
TOWN OF WAUSAU,MARATHON,1305,809,422,10,42,0,8,7,7,1326,776,538,2,3,0,0
TOWN OF WESTON,MARATHON,329,217,95,0,12,0,1,1,3,338,211,124,0,3,0,0
TOWN OF WIEN,MARATHON,415,275,125,2,10,0,1,1,1,400,245,149,1,4,0,0
VILLAGE OF ATHENS,MARATHON,544,356,165,1,14,0,2,1,5,525,299,222,1,3,0,0
VILLAGE OF BIRNAMWOOD,MARATHON,11,4,7,0,0,0,0,0,0,13,3,10,0,0,0,0
VILLAGE OF BROKAW,MARATHON,138,55,75,0,4,0,2,0,2,143,62,79,0,2,0,0
VILLAGE OF DORCHESTER,MARATHON,1,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0
VILLAGE OF EDGAR,MARATHON,750,442,267,3,26,0,3,2,7,779,432,342,1,3,0,0
VILLAGE OF ELDERON,MARATHON,94,59,28,1,2,0,1,1,2,79,45,33,0,1,0,0
VILLAGE OF FENWOOD,MARATHON,80,49,25,0,4,0,1,1,0,84,55,28,0,1,0,0
VILLAGE OF HATLEY,MARATHON,299,192,82,3,15,0,6,0,1,279,168,105,2,4,0,0
VILLAGE OF KRONENWETTER,MARATHON,4106,2374,1480,9,168,0,34,10,31,3935,2090,1801,5,33,0,0
VILLAGE OF MAINE,MARATHON,1463,904,486,4,48,0,6,0,15,1440,869,553,3,13,0,0
VILLAGE OF MARATHON CITY,MARATHON,851,540,261,7,23,0,14,0,6,850,496,346,3,5,0,0
VILLAGE OF ROTHSCHILD,MARATHON,2946,1480,1283,12,104,0,32,12,23,3038,1461,1555,2,16,0,0
VILLAGE OF SPENCER,MARATHON,900,543,298,8,38,0,6,3,4,895,501,382,5,6,0,0
VILLAGE OF STRATFORD,MARATHON,811,537,217,5,31,0,11,3,7,766,484,274,3,4,0,0
VILLAGE OF UNITY,MARATHON,107,80,22,0,2,0,3,0,0,107,66,39,1,1,0,0
VILLAGE OF WESTON,MARATHON,7457,4059,2964,35,261,0,57,36,45,7392,3794,3502,11,66,0,0
CITY OF ABBOTSFORD,MARATHON,148,85,58,0,4,0,0,0,1,141,77,61,1,1,0,0
CITY OF COLBY,MARATHON,235,131,85,0,11,0,2,4,2,226,109,110,0,4,0,0
CITY OF MARSHFIELD,MARATHON,413,222,175,5,7,0,2,1,1,359,188,170,0,1,0,0
CITY OF MOSINEE,MARATHON,2262,1344,805,15,58,0,25,4,11,2214,1147,1036,5,21,0,0
CITY OF SCHOFIELD,MARATHON,1129,569,478,3,48,0,10,7,14,1139,519,604,1,14,0,0
CITY OF WAUSAU,MARATHON,17817,7905,8646,86,664,0,274,78,164,18597,8072,10230,27,227,0,0
TOWN OF AMBERG,MARINETTE,455,315,125,3,7,0,5,0,0,428,247,177,2,2,0,0
TOWN OF ATHELSTANE,MARINETTE,317,215,93,1,7,0,1,0,0,336,173,158,0,5,0,0
TOWN OF BEAVER,MARINETTE,600,447,139,5,4,0,3,2,0,609,385,217,0,7,0,0
TOWN OF BEECHER,MARINETTE,406,285,104,5,8,0,3,1,0,388,220,166,0,2,0,0
TOWN OF DUNBAR,MARINETTE,284,188,79,3,7,0,2,5,0,566,451,100,2,6,0,0
TOWN OF GOODMAN,MARINETTE,340,214,119,1,4,0,2,0,0,323,152,167,3,1,0,0
TOWN OF GROVER,MARINETTE,910,682,205,0,16,0,4,3,0,855,491,352,1,10,0,0
TOWN OF LAKE,MARINETTE,659,466,175,3,13,0,0,2,0,591,314,269,1,7,0,0
TOWN OF MIDDLE INLET,MARINETTE,446,303,131,4,5,0,2,1,0,456,225,224,0,5,0,0
TOWN OF NIAGARA,MARINETTE,499,354,131,1,11,0,1,1,0,511,309,192,2,8,0,0
TOWN OF PEMBINE,MARINETTE,429,280,134,2,8,0,1,4,0,472,258,210,0,4,0,0
TOWN OF PESHTIGO,MARINETTE,2270,1443,732,12,66,0,11,6,0,2241,1154,1055,10,20,0,0
TOWN OF PORTERFIELD,MARINETTE,1053,690,316,8,28,0,7,4,0,1008,510,485,2,10,0,0
TOWN OF POUND,MARINETTE,676,517,135,1,18,0,1,4,0,698,430,257,1,9,0,0
TOWN OF SILVER CLIFF,MARINETTE,326,216,95,1,12,0,1,1,0,331,196,130,1,3,0,0
TOWN OF STEPHENSON,MARINETTE,1861,1240,569,5,37,0,6,4,0,1787,921,858,0,6,0,0
TOWN OF WAGNER,MARINETTE,389,266,110,0,11,0,0,2,0,365,204,155,0,4,0,0
TOWN OF WAUSAUKEE,MARINETTE,625,415,189,0,12,0,6,3,0,611,339,266,2,4,0,0
VILLAGE OF COLEMAN,MARINETTE,344,227,102,2,5,0,5,3,0,348,192,152,0,3,0,0
VILLAGE OF CRIVITZ,MARINETTE,455,300,136,2,15,0,2,0,0,486,242,237,1,6,0,0
VILLAGE OF POUND,MARINETTE,152,110,30,0,6,0,6,0,0,164,107,51,0,5,0,0
VILLAGE OF WAUSAUKEE,MARINETTE,207,131,66,0,10,0,0,0,0,200,88,109,1,2,0,0
CITY OF MARINETTE,MARINETTE,4455,2479,1745,14,150,0,42,25,0,4769,1924,2774,5,55,0,0
CITY OF NIAGARA,MARINETTE,708,444,233,3,21,0,4,3,0,746,369,368,2,4,0,0
CITY OF PESHTIGO,MARINETTE,1477,895,516,3,43,0,14,6,0,1488,718,753,2,12,0,0
TOWN OF BUFFALO,MARQUETTE,578,336,221,4,10,0,3,1,3,582,260,321,0,0,0,0
TOWN OF CRYSTAL LAKE,MARQUETTE,301,183,107,0,7,0,0,1,3,305,144,157,0,2,0,0
TOWN OF DOUGLAS,MARQUETTE,487,277,181,7,14,0,3,3,2,520,238,270,3,6,0,0
TOWN OF HARRIS,MARQUETTE,484,293,167,1,18,0,3,0,2,486,239,239,1,4,0,0
TOWN OF MECAN,MARQUETTE,378,217,142,1,11,0,4,1,2,379,199,176,0,4,0,0
TOWN OF MONTELLO,MARQUETTE,594,370,191,2,15,0,3,11,2,631,341,285,0,5,0,0
TOWN OF MOUNDVILLE,MARQUETTE,257,137,99,2,17,0,0,1,1,259,129,130,0,0,0,0
TOWN OF NESHKORO,MARQUETTE,338,218,108,0,6,0,2,1,3,342,197,145,0,0,0,0
TOWN OF NEWTON,MARQUETTE,244,158,69,5,8,0,1,2,1,251,128,118,3,1,0,0
TOWN OF OXFORD,MARQUETTE,481,295,157,4,12,0,3,9,1,505,273,221,0,10,0,0
TOWN OF PACKWAUKEE,MARQUETTE,707,426,258,4,8,0,2,4,5,706,321,377,1,5,0,0
TOWN OF SHIELDS,MARQUETTE,321,202,106,0,5,0,2,1,5,333,196,133,0,1,0,0
TOWN OF SPRINGFIELD,MARQUETTE,462,289,158,4,7,0,2,2,0,436,232,197,1,6,0,0
TOWN OF WESTFIELD,MARQUETTE,449,275,154,2,5,0,7,3,3,451,250,195,2,4,0,0
VILLAGE OF ENDEAVOR,MARQUETTE,184,111,63,0,4,0,4,0,2,218,95,119,1,1,0,0
VILLAGE OF NESHKORO,MARQUETTE,198,123,69,1,1,0,1,2,1,215,100,114,0,1,0,0
VILLAGE OF OXFORD,MARQUETTE,253,153,86,1,8,0,1,0,4,257,112,139,1,4,0,0
VILLAGE OF WESTFIELD,MARQUETTE,509,298,183,5,14,0,1,4,4,541,234,300,2,4,0,0
CITY OF MONTELLO,MARQUETTE,666,348,289,0,18,0,8,1,2,688,304,378,2,4,0,0
