city,county,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12
TOWN OF HEWETT,CLARK,174,109,54,3,7,0,1,0,0,166,74,88,0,2,0,0
TOWN OF HIXON,CLARK,210,133,69,0,6,0,0,0,2,220,104,114,0,1,0,0
TOWN OF HOARD,CLARK,239,164,71,0,2,0,1,1,0,229,139,89,1,0,0,0
TOWN OF LEVIS,CLARK,227,156,61,0,4,0,5,1,0,243,132,109,0,1,0,0
TOWN OF LONGWOOD,CLARK,228,141,68,3,11,0,1,4,0,228,123,97,2,5,0,0
TOWN OF LOYAL,CLARK,252,189,48,1,12,0,0,1,1,265,160,103,0,2,0,0
TOWN OF LYNN,CLARK,255,162,75,2,12,0,1,1,2,265,150,107,1,5,0,0
TOWN OF MAYVILLE,CLARK,353,235,100,2,12,0,1,2,1,349,212,133,1,3,0,0
TOWN OF MEAD,CLARK,148,89,45,0,7,0,0,2,5,143,64,77,0,2,0,0
TOWN OF MENTOR,CLARK,246,147,78,1,15,0,2,1,2,248,124,115,3,4,0,0
TOWN OF PINE VALLEY,CLARK,629,400,205,1,13,0,5,3,2,618,327,284,0,5,0,0
TOWN OF RESEBURG,CLARK,187,109,72,0,5,0,1,0,0,185,77,106,0,2,0,0
TOWN OF SEIF,CLARK,102,62,34,0,4,0,2,0,0,101,51,46,3,1,0,0
TOWN OF SHERMAN,CLARK,326,229,81,2,9,0,1,1,3,351,205,141,2,2,0,0
TOWN OF SHERWOOD,CLARK,150,72,68,1,7,0,1,1,0,148,62,81,0,2,0,0
TOWN OF THORP,CLARK,305,193,101,0,5,0,2,3,1,288,131,155,0,2,0,0
TOWN OF UNITY,CLARK,307,216,72,2,11,0,4,2,0,315,184,120,1,9,0,0
TOWN OF WARNER,CLARK,235,167,62,1,2,0,2,0,1,257,146,111,0,0,0,0
TOWN OF WASHBURN,CLARK,146,108,32,0,5,0,1,0,0,144,84,57,0,3,0,0
