county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
MARINETTE___TOWN OF BEECHER,406,285,104,5,8,0,3,1,0,388,220,166,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF DUNBAR,284,188,79,3,7,0,2,5,0,566,451,100,2,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF GOODMAN,340,214,119,1,4,0,2,0,0,323,152,167,3,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF GROVER,910,682,205,0,16,0,4,3,0,855,491,352,1,10,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF LAKE,659,466,175,3,13,0,0,2,0,591,314,269,1,7,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF MIDDLE INLET,446,303,131,4,5,0,2,1,0,456,225,224,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF NIAGARA,499,354,131,1,11,0,1,1,0,511,309,192,2,8,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF PEMBINE,429,280,134,2,8,0,1,4,0,472,258,210,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF PESHTIGO,2270,1443,732,12,66,0,11,6,0,2241,1154,1055,10,20,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF PORTERFIELD,1053,690,316,8,28,0,7,4,0,1008,510,485,2,10,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF POUND,676,517,135,1,18,0,1,4,0,698,430,257,1,9,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF SILVER CLIFF,326,216,95,1,12,0,1,1,0,331,196,130,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF STEPHENSON,1861,1240,569,5,37,0,6,4,0,1787,921,858,0,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF WAGNER,389,266,110,0,11,0,0,2,0,365,204,155,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___TOWN OF WAUSAUKEE,625,415,189,0,12,0,6,3,0,611,339,266,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___VILLAGE OF COLEMAN,344,227,102,2,5,0,5,3,0,348,192,152,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___VILLAGE OF CRIVITZ,455,300,136,2,15,0,2,0,0,486,242,237,1,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___VILLAGE OF POUND,152,110,30,0,6,0,6,0,0,164,107,51,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___VILLAGE OF WAUSAUKEE,207,131,66,0,10,0,0,0,0,200,88,109,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___CITY OF MARINETTE,4455,2479,1745,14,150,0,42,25,0,4769,1924,2774,5,55,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
MARINETTE___CITY OF NIAGARA,708,444,233,3,21,0,4,3,0,746,369,368,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARINETTE___CITY OF PESHTIGO,1477,895,516,3,43,0,14,6,0,1488,718,753,2,12,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF BUFFALO,578,336,221,4,10,0,3,1,3,582,260,321,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF CRYSTAL LAKE,301,183,107,0,7,0,0,1,3,305,144,157,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF DOUGLAS,487,277,181,7,14,0,3,3,2,520,238,270,3,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF HARRIS,484,293,167,1,18,0,3,0,2,486,239,239,1,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF MECAN,378,217,142,1,11,0,4,1,2,379,199,176,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF MONTELLO,594,370,191,2,15,0,3,11,2,631,341,285,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF MOUNDVILLE,257,137,99,2,17,0,0,1,1,259,129,130,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF NESHKORO,338,218,108,0,6,0,2,1,3,342,197,145,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF NEWTON,244,158,69,5,8,0,1,2,1,251,128,118,3,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF OXFORD,481,295,157,4,12,0,3,9,1,505,273,221,0,10,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF PACKWAUKEE,707,426,258,4,8,0,2,4,5,706,321,377,1,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF SHIELDS,321,202,106,0,5,0,2,1,5,333,196,133,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF SPRINGFIELD,462,289,158,4,7,0,2,2,0,436,232,197,1,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___TOWN OF WESTFIELD,449,275,154,2,5,0,7,3,3,451,250,195,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___VILLAGE OF ENDEAVOR,184,111,63,0,4,0,4,0,2,218,95,119,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___VILLAGE OF NESHKORO,198,123,69,1,1,0,1,2,1,215,100,114,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___VILLAGE OF OXFORD,253,153,86,1,8,0,1,0,4,257,112,139,1,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___VILLAGE OF WESTFIELD,509,298,183,5,14,0,1,4,4,541,234,300,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MARQUETTE___CITY OF MONTELLO,666,348,289,0,18,0,8,1,2,688,304,378,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MENOMINEE___TOWN OF MENOMINEE,1308,267,1002,3,12,0,24,0,0,1377,179,1191,1,6,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF BAYSIDE,2864,866,1849,5,83,0,11,21,29,2843,1258,1562,0,21,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF BROWN DEER,6917,2038,4408,37,218,0,64,42,110,7366,2621,4655,15,60,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF FOX POINT,4504,1425,2790,5,136,0,32,31,85,4610,2148,2426,1,32,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF GREENDALE,8499,4136,3815,28,280,0,72,74,94,9110,5029,3996,10,63,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF HALES CORNERS,4418,2389,1722,19,144,0,45,33,66,4718,2799,1862,8,42,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF RIVER HILLS,1151,494,585,2,32,0,4,6,28,1181,678,493,0,7,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF SHOREWOOD,8528,1407,6527,17,255,0,125,49,148,8824,2380,6320,5,103,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF WEST MILWAUKEE,1614,478,1025,6,50,0,16,13,26,1746,617,1104,5,15,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___VILLAGE OF WHITEFISH BAY,9024,2664,5644,25,342,0,73,42,234,9303,4401,4818,6,66,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF CUDAHY,9048,3939,4514,32,308,0,109,47,99,9938,4185,5621,17,96,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF FRANKLIN,19768,10569,8048,60,661,0,117,128,185,20152,11849,8163,25,82,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF GLENDALE,8070,2309,5313,15,228,0,78,42,85,8667,3218,5356,10,65,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF GREENFIELD,19366,9290,8767,74,703,0,143,126,263,20378,10422,9750,26,155,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF MILWAUKEE,246617,45422,188700,619,6252,0,2687,859,2078,287387,56687,227810,321,2120,0,0,ES&S DS200/DS850,ES&S Automark
MILWAUKEE___CITY OF OAK CREEK,17833,9039,7639,63,663,0,117,112,200,18650,10033,8442,25,126,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF ST. FRANCIS,5072,2002,2676,17,216,0,68,28,65,5341,2296,2977,3,56,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF SOUTH MILWAUKEE,10285,4757,4818,37,415,0,117,57,84,10960,4962,5820,29,121,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF WAUWATOSA,28711,10037,16314,88,1332,0,276,304,360,29859,14547,14966,24,275,0,0,ES&S DS200,ES&S Automark
MILWAUKEE___CITY OF WEST ALLIS,28764,12808,13668,113,1272,0,374,161,368,31543,14794,16297,64,338,0,0,ES&S DS200,ES&S Automark
MONROE___TOWN OF ADRIAN,415,280,118,1,12,0,2,0,2,410,244,163,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF ANGELO,617,388,202,3,14,0,5,0,5,587,326,252,3,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF BYRON,600,373,184,4,22,0,4,0,13,581,291,281,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF CLIFTON,222,136,79,2,3,0,1,1,0,224,106,114,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF GLENDALE,303,197,89,0,8,0,8,0,1,316,183,125,2,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF GRANT,243,181,49,1,7,0,3,0,2,222,149,70,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF GREENFIELD,389,251,122,3,8,0,2,0,3,390,230,157,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF JEFFERSON,284,171,105,1,5,0,1,0,1,275,128,146,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF LAFAYETTE,180,113,51,2,10,0,2,1,1,158,92,63,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF LA GRANGE,1044,627,336,12,35,0,13,9,12,1044,572,462,3,7,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF LEON,592,384,176,5,16,0,7,1,3,589,342,243,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF LINCOLN,437,319,94,5,14,0,1,3,1,432,291,136,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF LITTLE FALLS,700,436,214,4,31,0,9,2,4,693,319,367,0,4,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF NEW LYME,98,65,28,2,2,0,0,0,1,90,48,41,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF OAKDALE,378,259,101,1,9,0,3,1,4,344,189,152,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF PORTLAND,396,226,157,0,11,0,1,1,0,376,181,189,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF RIDGEVILLE,251,137,99,5,7,0,0,1,2,252,122,130,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF SCOTT,46,37,5,0,3,0,1,0,0,56,43,13,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF SHELDON,217,156,55,1,2,0,3,0,0,224,147,75,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF SPARTA,1566,904,567,9,52,0,16,7,11,1578,814,745,5,12,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF TOMAH,736,468,230,9,22,0,5,1,1,705,413,286,1,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF WELLINGTON,254,125,108,0,12,0,4,2,3,265,115,145,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF WELLS,276,171,90,1,10,0,2,1,1,276,137,138,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___TOWN OF WILTON,242,156,64,0,16,0,3,0,3,245,120,120,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___VILLAGE OF CASHTON,450,236,185,2,20,0,2,0,5,469,183,278,0,8,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___VILLAGE OF KENDALL,202,110,79,1,5,0,6,0,1,193,65,124,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___VILLAGE OF MELVINA,38,22,16,0,0,0,0,0,0,31,13,18,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___VILLAGE OF NORWALK,208,108,92,3,5,0,0,0,0,213,97,114,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___VILLAGE OF OAKDALE,116,69,37,0,6,0,2,2,0,112,58,54,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___VILLAGE OF WARRENS,215,146,59,2,5,0,0,0,3,204,127,71,1,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___VILLAGE OF WILTON,228,106,102,2,12,0,5,0,1,221,95,125,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___VILLAGE OF WYEVILLE,60,36,19,1,2,0,1,0,1,58,30,25,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
MONROE___CITY OF SPARTA,3806,1884,1646,10,153,0,49,16,48,3815,1653,2096,9,48,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
MONROE___CITY OF TOMAH,3890,2079,1494,21,168,0,71,21,36,3837,1752,1997,18,55,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF ABRAMS,1040,714,281,5,27,0,7,3,3,1052,594,443,1,13,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF BAGLEY,180,133,42,2,3,0,0,0,0,164,91,70,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF BRAZEAU,805,560,222,0,16,0,4,1,2,787,447,332,1,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF BREED,368,267,79,1,17,0,1,3,0,375,224,140,5,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF CHASE,1596,1057,455,3,66,0,9,4,2,1588,893,672,5,14,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF DOTY,205,129,64,2,6,0,3,0,1,197,128,69,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF GILLETT,555,439,94,3,11,0,5,0,3,558,381,170,0,7,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF HOW,317,229,72,1,9,0,1,5,0,326,206,110,0,9,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF LAKEWOOD,577,365,192,2,9,0,3,3,3,570,324,239,1,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF LENA,380,264,98,1,15,0,0,0,2,369,198,168,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF LITTLE RIVER,559,379,154,3,6,0,9,2,6,561,271,284,0,5,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF LITTLE SUAMICO,2836,1922,774,13,95,0,13,4,15,2564,1511,1027,4,20,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF MAPLE VALLEY,364,269,86,0,7,0,2,0,0,383,233,145,1,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF MORGAN,572,408,136,5,14,0,4,4,1,567,328,230,1,8,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF MOUNTAIN,472,288,160,0,15,0,4,2,3,551,285,261,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF OCONTO,744,496,222,10,13,0,2,0,1,740,382,355,1,1,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF OCONTO FALLS,664,446,184,7,22,0,3,2,0,666,388,266,2,9,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF PENSAUKEE,797,524,243,1,17,0,3,5,4,752,403,341,1,7,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF RIVERVIEW,500,287,193,1,15,0,3,0,1,507,245,260,1,1,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF SPRUCE,470,322,131,2,10,0,1,1,3,443,235,203,0,5,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF STILES,819,527,246,5,32,0,5,1,3,796,413,368,2,11,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF TOWNSEND,670,396,252,2,17,0,1,2,0,658,351,297,1,6,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___TOWN OF UNDERHILL,418,284,118,2,11,0,0,1,2,421,229,190,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___VILLAGE OF LENA,257,164,84,1,4,0,1,1,2,248,112,131,1,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
OCONTO___VILLAGE OF SURING,210,153,50,0,4,0,0,1,2,222,120,97,2,3,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___CITY OF GILLETT,580,358,196,3,14,0,5,1,3,594,308,282,1,1,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___CITY OF OCONTO,2015,1179,737,7,62,0,20,7,3,1968,813,1130,3,18,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OCONTO___CITY OF OCONTO FALLS,1236,786,375,7,53,0,9,2,4,1232,628,585,0,17,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF CASSIAN,685,393,250,4,22,0,7,1,8,706,377,324,2,3,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF CRESCENT,1298,712,525,4,37,0,4,8,8,1329,620,696,3,10,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF ENTERPRISE,229,147,72,2,5,0,2,0,1,238,131,104,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF HAZELHURST,844,484,332,0,17,0,10,0,1,823,445,370,1,2,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF LAKE TOMAHAWK,648,399,224,2,16,0,1,4,2,661,383,271,3,2,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF LITTLE RICE,222,159,58,0,3,0,1,0,1,227,123,101,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF LYNNE,81,56,20,0,2,0,1,1,1,87,42,42,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF MINOCQUA,3089,1922,1026,12,78,0,20,6,25,3100,1853,1221,4,17,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF MONICO,156,110,40,1,4,0,1,0,0,158,105,49,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF NEWBOLD,1742,965,670,12,64,0,13,5,13,1701,855,827,5,12,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF NOKOMIS,852,473,340,1,20,0,11,3,4,878,387,480,2,6,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF PELICAN,1519,807,603,7,61,0,12,11,18,1521,709,782,5,21,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF PIEHL,50,32,17,0,0,0,1,0,0,55,23,31,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF PINE LAKE,1623,852,658,8,66,0,16,12,11,1590,733,834,3,16,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF SCHOEPKE,231,136,90,0,2,0,2,0,1,244,124,119,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF STELLA,376,200,156,2,9,0,5,1,3,367,162,202,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF SUGAR CAMP,1141,717,361,3,43,0,5,7,5,1117,678,418,1,17,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF THREE LAKES,1572,1026,448,5,56,0,19,7,11,1508,925,560,4,15,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF WOODBORO,534,292,196,6,31,0,1,4,4,534,260,272,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
ONEIDA___TOWN OF WOODRUFF,1285,746,483,4,31,0,10,1,10,1272,679,576,4,10,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ONEIDA___CITY OF RHINELANDER,3354,1504,1540,22,184,0,57,17,30,3536,1303,2173,11,38,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
OUTAGAMIE___TOWN OF BLACK CREEK,683,460,194,5,17,0,5,2,0,665,392,262,1,8,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF BOVINA,632,427,184,2,17,0,2,0,0,637,349,284,0,4,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF BUCHANAN,3850,2110,1497,15,166,0,28,34,0,3896,2138,1701,8,47,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF CENTER,2114,1421,572,11,91,0,11,8,0,2094,1311,746,3,27,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF CICERO,516,312,175,3,19,0,6,1,0,557,317,236,0,4,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF DALE,1590,1100,413,10,36,0,15,16,0,1555,974,563,1,15,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF DEER CREEK,284,195,74,5,5,0,5,0,0,286,152,129,0,4,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF ELLINGTON,1662,1208,385,7,44,0,8,10,0,1563,954,590,5,12,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF FREEDOM,3260,2086,972,20,136,0,30,16,0,3218,1836,1344,6,28,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF GRAND CHUTE,11752,6141,4862,61,502,0,128,58,0,11717,6209,5313,22,149,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF GREENVILLE,6555,4226,1963,30,264,0,37,35,0,6080,3807,2205,6,52,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF HORTONIA,636,427,177,3,27,0,2,0,0,619,409,207,1,2,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF KAUKAUNA,726,507,192,1,20,0,2,4,0,718,433,276,3,6,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF LIBERTY,513,365,131,2,11,0,3,1,0,464,283,170,4,5,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF MAINE,456,289,139,0,19,0,3,6,0,428,239,184,0,5,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF MAPLE CREEK,314,223,80,3,6,0,1,1,0,315,177,135,0,3,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF ONEIDA,1924,991,830,9,49,0,38,7,0,2085,897,1155,6,23,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF OSBORN,708,476,196,1,32,0,0,3,0,672,410,248,2,11,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF SEYMOUR,627,447,149,5,20,0,5,1,0,601,379,213,0,8,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___TOWN OF VANDENBROEK,900,581,268,3,37,0,8,3,0,871,511,355,3,1,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___VILLAGE OF BEAR CREEK,144,85,52,1,6,0,0,0,0,138,57,80,0,1,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___VILLAGE OF BLACK CREEK,655,428,191,4,26,0,5,1,0,616,321,289,1,4,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___VILLAGE OF COMBINED LOCKS,2044,1130,793,11,82,0,21,7,0,1936,985,929,3,18,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___VILLAGE OF HORTONVILLE,1489,907,494,5,62,0,13,8,0,1491,827,645,2,16,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___VILLAGE OF KIMBERLY,3590,1749,1562,21,184,0,36,38,0,3604,1619,1936,4,37,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___VILLAGE OF LITTLE CHUTE,5434,2933,2123,35,267,0,49,27,0,5445,2578,2796,12,56,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___VILLAGE OF NICHOLS,114,89,19,1,5,0,0,0,0,106,60,44,0,2,0,0,ES&S DS200,ES&S ExpressVote
OUTAGAMIE___VILLAGE OF SHIOCTON,414,238,146,1,14,0,9,6,0,429,171,253,0,4,0,0,ES&S DS200,ES&S ExpressVote
