county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
BAYFIELD___CITY OF WASHBURN,1214,328,792,3,31,0,39,10,11,1185,290,878,4,11,0,0,ES&S M100,ES&S Automark
BROWN___TOWN OF EATON,927,591,291,5,24,0,9,1,6,906,483,409,1,10,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF GLENMORE,594,391,167,4,22,0,3,2,5,637,377,255,1,3,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF GREEN BAY,1215,800,363,8,26,0,10,5,3,1169,704,454,2,7,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF HOLLAND,895,570,273,1,37,0,4,6,4,900,554,331,1,14,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF HUMBOLDT,748,488,222,2,22,0,5,5,4,756,421,326,1,8,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF LAWRENCE,3073,1906,990,10,107,0,21,12,27,2708,1665,1016,6,17,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF LEDGEVIEW,4332,2469,1580,10,187,0,33,15,38,4044,2528,1488,2,24,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF MORRISON,879,653,173,4,39,0,6,2,2,900,624,269,1,4,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF NEW DENMARK,940,598,294,4,30,0,9,3,2,916,501,408,1,5,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF PITTSFIELD,1647,1079,480,3,64,0,10,6,5,1631,996,617,3,14,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF ROCKLAND,1095,692,338,10,37,0,7,6,5,1057,684,366,2,5,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF SCOTT,2274,1294,868,8,58,0,18,3,25,2255,1213,1019,0,19,0,0,ES&S DS200,ES&S Automark
BROWN___TOWN OF WRIGHTSTOWN,1251,820,365,4,39,0,9,5,9,1214,731,464,2,16,0,0,ES&S DS200,ES&S Automark
BROWN___VILLAGE OF ALLOUEZ,7973,3764,3651,24,310,0,74,57,93,8136,3980,4070,12,65,0,0,ES&S DS200,ES&S Automark
BROWN___VILLAGE OF ASHWAUBENON,9309,4873,3802,41,376,0,100,25,92,9522,4900,4495,17,92,0,0,ES&S DS200,ES&S Automark
BROWN___VILLAGE OF BELLEVUE,7988,4222,3318,30,282,0,63,8,65,7733,4050,3624,8,43,0,0,ES&S DS200,ES&S Automark
